Tue Jul  1 18:35:42 2014    timing.4

         2309495 function calls (2251965 primitive calls) in 91.244 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      954    0.054    0.000    0.347    0.000 /home/pi/ndn/PyNDN2/python/pyndn/interest.py:208(setNonce)
     3816    0.330    0.000    0.330    0.000 {method 'write' of 'file' objects}
    74729    0.330    0.000    0.330    0.000 {ord}
     1908    0.204    0.000    0.319    0.000 /usr/lib/python2.7/logging/__init__.py:1214(findCaller)
      954    0.202    0.000    0.294    0.000 fixture.py:61(setPayloadColor)
      958    0.088    0.000    0.293    0.000 /home/pi/ndn/PyNDN2/python/pyndn/interest.py:331(getChangeCount)
      955    0.045    0.000    0.278    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_encoder.py:142(writeNonNegativeIntegerTlv)
3816/1908    0.186    0.000    0.263    0.000 /usr/lib/pymodules/python2.7/google/protobuf/internal/python_message.py:928(Modified)
     1908    0.093    0.000    0.255    0.000 /usr/lib/pymodules/python2.7/google/protobuf/internal/python_message.py:386(getter)
     1908    0.077    0.000    0.254    0.000 /usr/lib/python2.7/posixpath.py:104(splitext)
     1908    0.252    0.000    0.252    0.000 {time.localtime}
        1    0.033    0.033    0.247    0.247 lighting/KinetSender.py:8(<module>)
    15327    0.246    0.000    0.246    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/blob.py:287(__init__)
3816/1908    0.103    0.000    0.243    0.000 /usr/lib/pymodules/python2.7/google/protobuf/internal/python_message.py:980(Modified)
     5733    0.175    0.000    0.231    0.000 /home/pi/ndn/PyNDN2/python/pyndn/interest.py:64(getName)
    12440    0.216    0.000    0.216    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/blob.py:93(buf)
        1    0.004    0.004    0.207    0.207 /home/pi/ndn/PyNDN2/python/pyndn/security/__init__.py:20(<module>)
        1    0.004    0.004    0.203    0.203 /home/pi/ndn/PyNDN2/python/pyndn/security/key_chain.py:26(<module>)
      957    0.066    0.000    0.200    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/change_counter.py:50(set)
     3816    0.113    0.000    0.194    0.000 /usr/lib/python2.7/logging/__init__.py:445(usesTime)
     3858    0.193    0.000    0.193    0.000 /home/pi/ndn/PyNDN2/python/pyndn/node.py:518(isTimedOut)
        1    0.011    0.011    0.185    0.185 /home/pi/ndn/PyNDN2/python/pyndn/security/identity/__init__.py:20(<module>)
      955    0.184    0.000    0.184    0.000 {method 'recv_into' of '_socket.socket' objects}
      955    0.123    0.000    0.182    0.000 /home/pi/ndn/PyNDN2/python/pyndn/key_locator.py:120(clear)
     2862    0.161    0.000    0.180    0.000 /usr/lib/pymodules/python2.7/google/protobuf/internal/type_checkers.py:100(CheckValue)
     3816    0.120    0.000    0.180    0.000 /usr/lib/python2.7/logging/__init__.py:311(getMessage)
     5724    0.138    0.000    0.177    0.000 /usr/lib/pymodules/python2.7/google/protobuf/internal/python_message.py:430(getter)
     1908    0.131    0.000    0.177    0.000 /usr/lib/python2.7/genericpath.py:85(_splitext)
        1    0.014    0.014    0.174    0.174 /usr/lib/pymodules/python2.7/google/protobuf/descriptor_pb2.py:3(<module>)
    19103    0.172    0.000    0.172    0.000 /home/pi/ndn/PyNDN2/python/pyndn/name.py:507(getChangeCount)
     6784    0.171    0.000    0.171    0.000 {range}
    16242    0.169    0.000    0.169    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/change_counter.py:40(get)
    17202    0.168    0.000    0.168    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_encoder.py:41(__len__)
        1    0.000    0.000    0.153    0.153 /usr/local/lib/python2.7/dist-packages/Crypto/PublicKey/RSA.py:590(importKey)
    15294    0.152    0.000    0.152    0.000 /usr/lib/python2.7/threading.py:63(_note)
        1    0.019    0.019    0.152    0.152 /usr/local/lib/python2.7/dist-packages/Crypto/PublicKey/RSA.py:542(_importKeyDER)
      955    0.103    0.000    0.147    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/binary_xml_structure_decoder.py:32(__init__)
      954    0.062    0.000    0.140    0.000 /usr/lib/pymodules/python2.7/google/protobuf/internal/python_message.py:258(MakeRepeatedMessageDefault)
        1    0.010    0.010    0.135    0.135 /home/pi/ndn/PyNDN2/python/pyndn/__init__.py:22(<module>)
     5724    0.133    0.000    0.133    0.000 /usr/lib/python2.7/logging/__init__.py:598(filter)
       25    0.002    0.000    0.133    0.005 /usr/lib/pymodules/python2.7/google/protobuf/reflection.py:122(__init__)
        1    0.018    0.018    0.132    0.132 /home/pi/ndn/PyNDN2/python/pyndn/security/identity/file_private_key_storage.py:23(<module>)
       25    0.007    0.000    0.131    0.005 /usr/lib/pymodules/python2.7/google/protobuf/internal/python_message.py:79(InitMessage)
     1908    0.110    0.000    0.129    0.000 /usr/lib/python2.7/logging/__init__.py:153(getLevelName)
     1908    0.127    0.000    0.127    0.000 {time.strftime}
        1    0.006    0.006    0.125    0.125 /usr/lib/pymodules/python2.7/google/protobuf/reflection.py:46(<module>)
      954    0.027    0.000    0.123    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/blob.py:90(__len__)
        1    0.016    0.016    0.119    0.119 /usr/lib/pymodules/python2.7/google/protobuf/internal/python_message.py:49(<module>)
    15315    0.119    0.000    0.119    0.000 {method 'get' of 'dict' objects}
     1908    0.073    0.000    0.116    0.000 /usr/lib/python2.7/logging/__init__.py:1341(isEnabledFor)
      957    0.106    0.000    0.113    0.000 {map}
        2    0.086    0.043    0.112    0.056 /usr/local/lib/python2.7/dist-packages/Crypto/Util/number.py:152(inverse)
     1909    0.072    0.000    0.112    0.000 /usr/lib/python2.7/posixpath.py:119(basename)
      960    0.053    0.000    0.110    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_encoder.py:35(__init__)
     1908    0.080    0.000    0.109    0.000 /home/pi/ndn/PyNDN2/python/pyndn/data.py:128(getMetaInfo)
