Tue Jul  1 11:53:13 2014    timing.2

         1539768 function calls (1503430 primitive calls) in 51.438 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      587    0.067    0.000    0.303    0.001 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/containers.py:212(add)
     2348    0.239    0.000    0.301    0.000 /home/pi/PyNDN2/python/pyndn/util/dynamic_byte_array.py:97(copyFromBack)
     1760    0.234    0.000    0.297    0.000 /usr/local/lib/python2.7/dist-packages/mock.py:477(__init__)
     2349    0.288    0.000    0.288    0.000 {posix.urandom}
   372/23    0.098    0.000    0.284    0.012 /usr/lib/python2.7/sre_compile.py:32(_compile)
        1    0.005    0.005    0.271    0.271 /home/pi/PyNDN2/python/pyndn/security/__init__.py:20(<module>)
        1    0.004    0.004    0.266    0.266 /home/pi/PyNDN2/python/pyndn/security/key_chain.py:26(<module>)
      586    0.018    0.000    0.265    0.000 /home/pi/PyNDN2/python/pyndn/sha256_with_rsa_signature.py:56(clone)
      586    0.037    0.000    0.265    0.000 /home/pi/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:647(_decodeKeyLocator)
 2348/587    0.230    0.000    0.263    0.000 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/python_message.py:839(IsInitialized)
        1    0.010    0.010    0.248    0.248 /home/pi/PyNDN2/python/pyndn/__init__.py:22(<module>)
        1    0.012    0.012    0.246    0.246 /home/pi/PyNDN2/python/pyndn/security/identity/__init__.py:20(<module>)
      587    0.043    0.000    0.245    0.000 /home/pi/PyNDN2/python/pyndn/encoding/tlv/tlv_encoder.py:168(writeOptionalNonNegativeIntegerTlvFromFloat)
    63955    0.233    0.000    0.233    0.000 {ord}
      586    0.047    0.000    0.211    0.000 /home/pi/PyNDN2/python/pyndn/meta_info.py:35(__init__)
        1    0.019    0.019    0.196    0.196 /home/pi/PyNDN2/python/pyndn/security/identity/file_private_key_storage.py:23(<module>)
     1760    0.120    0.000    0.194    0.000 /usr/local/lib/python2.7/dist-packages/mock.py:601(__set_side_effect)
      586    0.043    0.000    0.193    0.000 /home/pi/PyNDN2/python/pyndn/meta_info.py:100(setFinalBlockID)
     9394    0.188    0.000    0.192    0.000 /home/pi/PyNDN2/python/pyndn/util/common.py:92(stringToUtf8Array)
      586    0.023    0.000    0.189    0.000 /home/pi/PyNDN2/python/pyndn/data.py:252(_setDefaultWireEncoding)
     1758    0.044    0.000    0.186    0.000 /home/pi/PyNDN2/python/pyndn/sha256_with_rsa_signature.py:110(getChangeCount)
      262    0.140    0.001    0.185    0.001 /usr/lib/pymodules/python2.7/numpy/lib/function_base.py:3181(add_newdoc)
        1    0.014    0.014    0.184    0.184 /usr/local/lib/python2.7/dist-packages/google/protobuf/descriptor_pb2.py:4(<module>)
      586    0.022    0.000    0.182    0.000 /home/pi/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:221(readNonNegativeIntegerTlv)
     2348    0.106    0.000    0.173    0.000 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/python_message.py:1013(__init__)
    12911    0.173    0.000    0.173    0.000 /home/pi/PyNDN2/python/pyndn/util/blob.py:287(__init__)
     2348    0.117    0.000    0.167    0.000 /home/pi/PyNDN2/python/pyndn/encoding/tlv/tlv_encoder.py:104(writeNonNegativeInteger)
     1761    0.070    0.000    0.167    0.000 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/python_message.py:453(setter)
